variable,value
VAR,1.6225704e-05
diff(EMA),1.0477809e-05
diff(ATR),7.836594e-06
diff(MA),5.654297e-06
diff(volume),3.9932133e-06
STDDEV,3.294822e-06
diff(diff(diff(TRIX))),2.655307e-06
diff(KAMA),2.6378038e-06
PPO,2.5785619e-06
diff(diff(ADXR)),2.0970062e-06
pct_change(volume),2.0367547e-06
diff(TYPPRICE),1.9347149e-06
diff(ROCR),1.4740835e-06
diff(MOM),1.4344512e-06
diff(TEMA),1.331093e-06
diff(ROC),1.3284653e-06
diff(CCI),1.153392e-06
diff(MFI),1.1076718e-06
BOP,1.0645418e-06
diff(TRANGE),9.176973e-07
diff(adjClose),9.0680646e-07
diff(PLUS_DM),8.998294e-07
pct_change(vwap),8.9363726e-07
diff(NATR),8.440111e-07
diff(DEMA),8.3909276e-07
pct_change(open),8.081374e-07
diff(diff(HT_TRENDLINE)),7.700293e-07
diff(log(vwap)),7.633503e-07
diff(TRIMA),7.491308e-07
diff(diff(ADX)),6.930206e-07
diff(CMO),6.2759443e-07
diff(WCLPRICE),6.1179156e-07
diff(MEDPRICE),5.924573e-07
diff(DX),5.4160824e-07
diff(log(volume)),5.357968e-07
diff(diff(diff(T3))),5.310088e-07
diff(log(open)),4.9442303e-07
diff(OBV),4.9139953e-07
pct_change(close),4.895877e-07
diff(log(low)),4.722352e-07
diff(diff(SMA)),4.0348058e-07
diff(AVGPRICE),3.8408368e-07
diff(WILLR),3.6623882e-07
diff(HT_DCPERIOD),3.650066e-07
pct_change(high),3.412438e-07
diff(close),3.0475084e-07
diff(HT_DCPHASE),2.9419502e-07
pct_change(adjClose),2.9386203e-07
APO,2.8975015e-07
diff(ROCP),2.7165916e-07
diff(LINEARREG),2.3856333e-07
diff(MINUS_DM),2.0670271e-07
diff(open),2.0651015e-07
pct_change(low),2.0440945e-07
diff(AD),2.0301921e-07
LINEARREG_SLOPE,1.8878937e-07
diff(MINUS_DI),1.8243114e-07
diff(log(close)),1.8240438e-07
diff(BETA),1.689391e-07
diff(ADOSC),1.652867e-07
diff(RSI),1.5989373e-07
diff(WMA),1.3040689e-07
diff(PLUS_DI),1.263606e-07
diff(low),1.2539749e-07
diff(high),1.2150417e-07
diff(vwap),1.1604781e-07
diff(ULTOSC),1.09637e-07
CORREL,1.0857874e-07
diff(LINEARREG_INTERCEPT),9.892046e-08
diff(log(high)),9.82711e-08
diff(LINEARREG_ANGLE),8.6918334e-08
diff(log(adjClose)),4.1836543e-08
