variable,value
VAR,0.00011084308
diff(EMA),0.000106045
diff(ROCR),9.932641e-05
diff(ATR),9.360305e-05
diff(MA),8.636442e-05
diff(diff(diff(TRIX))),7.769851e-05
diff(MOM),7.635112e-05
pct_change(volume),7.54494e-05
diff(volume),7.531742e-05
PPO,7.222208e-05
diff(KAMA),7.18485e-05
STDDEV,7.101045e-05
diff(TRANGE),7.088729e-05
diff(ROC),7.074143e-05
diff(TYPPRICE),6.889642e-05
diff(diff(SMA)),6.653113e-05
diff(CCI),6.523023e-05
diff(diff(diff(T3))),6.2243926e-05
diff(diff(ADXR)),6.1784725e-05
pct_change(open),6.1139915e-05
diff(NATR),6.096957e-05
diff(log(vwap)),6.011374e-05
diff(WCLPRICE),5.9430386e-05
diff(TEMA),5.8322028e-05
diff(log(volume)),5.820601e-05
diff(ROCP),5.6963465e-05
diff(diff(ADX)),5.6752706e-05
diff(log(open)),5.6068573e-05
diff(CMO),5.562026e-05
diff(TRIMA),5.5354e-05
diff(OBV),5.5284538e-05
diff(MFI),5.5236687e-05
diff(AVGPRICE),5.452363e-05
pct_change(low),5.4187753e-05
pct_change(vwap),5.384847e-05
pct_change(high),5.3257212e-05
diff(diff(HT_TRENDLINE)),5.279074e-05
diff(DEMA),5.2636253e-05
diff(BETA),5.2536838e-05
APO,5.1929022e-05
BOP,5.1429877e-05
diff(LINEARREG),4.9448376e-05
diff(DX),4.9170365e-05
diff(PLUS_DI),4.912201e-05
diff(adjClose),4.8898055e-05
diff(log(low)),4.854575e-05
diff(PLUS_DM),4.8439724e-05
pct_change(close),4.804162e-05
diff(open),4.8010497e-05
diff(WILLR),4.6796304e-05
diff(close),4.646767e-05
diff(MEDPRICE),4.471779e-05
diff(log(close)),4.4586763e-05
diff(MINUS_DI),4.4309116e-05
diff(HT_DCPHASE),4.3421194e-05
diff(ADOSC),4.322988e-05
diff(ULTOSC),4.3207285e-05
LINEARREG_SLOPE,4.3176173e-05
diff(vwap),4.3019612e-05
diff(HT_DCPERIOD),4.300938e-05
diff(RSI),4.3008222e-05
CORREL,4.1826956e-05
pct_change(adjClose),4.178784e-05
diff(AD),4.1633517e-05
diff(MINUS_DM),4.0606377e-05
diff(high),4.039584e-05
diff(WMA),3.8129532e-05
diff(LINEARREG_ANGLE),3.781338e-05
diff(log(high)),3.7553375e-05
diff(low),3.4139073e-05
diff(LINEARREG_INTERCEPT),3.0549687e-05
diff(log(adjClose)),2.8037863e-05
