variable,value
VAR,0.00081006024
diff(EMA),0.0007742906
diff(ATR),0.0006211055
diff(ROCR),0.00060329307
diff(MA),0.00048069336
diff(diff(diff(TRIX))),0.0004329938
pct_change(volume),0.0004222997
diff(volume),0.00041644144
PPO,0.00039620075
diff(TYPPRICE),0.00037338553
diff(TRANGE),0.00036345742
diff(KAMA),0.00035576202
diff(MOM),0.00034330875
diff(ROC),0.0003295899
STDDEV,0.00031821127
diff(WCLPRICE),0.00029620258
diff(diff(SMA)),0.0002838931
diff(diff(ADXR)),0.00027907212
diff(CCI),0.00027870128
pct_change(open),0.00027576124
diff(TEMA),0.00025968664
diff(log(vwap)),0.00025848852
diff(diff(diff(T3))),0.00024060717
diff(TRIMA),0.00023744522
diff(MFI),0.00023395507
diff(diff(ADX)),0.00022884215
diff(adjClose),0.00022275382
diff(log(open)),0.0002222313
diff(CMO),0.0002183818
diff(NATR),0.00021811663
diff(log(volume)),0.00021109471
BOP,0.00021076707
pct_change(vwap),0.000205207
pct_change(low),0.00020045313
diff(OBV),0.00019885716
pct_change(high),0.00019777013
diff(AVGPRICE),0.00019161626
diff(PLUS_DM),0.00019128322
diff(open),0.00018745346
diff(ROCP),0.0001868334
diff(diff(HT_TRENDLINE)),0.00018193942
diff(BETA),0.00018181917
diff(DEMA),0.0001812166
pct_change(close),0.00017871936
diff(WILLR),0.00017285449
diff(DX),0.00016774671
diff(log(low)),0.00016698481
diff(close),0.00015952768
diff(ADOSC),0.0001567002
diff(LINEARREG),0.00015549388
diff(ULTOSC),0.00014948157
diff(PLUS_DI),0.00014896724
diff(WMA),0.00014479451
diff(MINUS_DI),0.00014108536
APO,0.00014009081
diff(RSI),0.00013988504
diff(HT_DCPERIOD),0.00013716708
LINEARREG_SLOPE,0.00013464809
diff(vwap),0.00013295894
diff(log(close)),0.00013164201
CORREL,0.00013025758
diff(MEDPRICE),0.00012520062
pct_change(adjClose),0.00012240297
diff(high),0.000118056545
diff(AD),0.000112176065
diff(HT_DCPHASE),0.000111944835
diff(log(high)),0.000110322835
diff(MINUS_DM),0.00010640418
diff(low),0.00010325879
diff(LINEARREG_ANGLE),9.117298e-05
diff(log(adjClose)),5.8154437e-05
diff(LINEARREG_INTERCEPT),5.489912e-05
