"index","variable","value"
"18","diff(log(adjClose))","0.000055832577"
"59","diff(LINEARREG_INTERCEPT)","0.00006628"
"9","diff(low)","0.000082730694"
"15","diff(log(high))","0.00010006372"
"58","diff(LINEARREG_ANGLE)","0.00010154166"
"34","diff(WMA)","0.00010325981"
"8","diff(high)","0.00011545014"
"42","diff(MINUS_DM)","0.00011631115"
"63","diff(AD)","0.00012281777"
"4","pct_change(adjClose)","0.00012305906"
"24","CORREL","0.00012425048"
"49","diff(RSI)","0.00013100459"
"35","diff(HT_DCPERIOD)","0.0001312819"
"13","diff(vwap)","0.00013142082"
"25","LINEARREG_SLOPE","0.0001322828"
"50","diff(ULTOSC)","0.00013256204"
"64","diff(ADOSC)","0.00013273217"
"36","diff(HT_DCPHASE)","0.00013337981"
"53","diff(MEDPRICE)","0.00013718999"
"41","diff(MINUS_DI)","0.00013940214"
"17","diff(log(close))","0.00014117813"
"51","diff(WILLR)","0.00015057677"
"10","diff(close)","0.00015195887"
"7","diff(open)","0.00016368036"
"3","pct_change(close)","0.00016387652"
"45","diff(PLUS_DM)","0.00016527848"
"11","diff(adjClose)","0.00016619338"
"16","diff(log(low))","0.00016736337"
"39","diff(DX)","0.00016980065"
"44","diff(PLUS_DI)","0.00017118138"
"57","diff(LINEARREG)","0.00017251898"
"22","BOP","0.00018110806"
"21","APO","0.00019095767"
"66","diff(diff(HT_TRENDLINE))","0.00019437083"
"28","diff(DEMA)","0.00019518005"
"56","diff(BETA)","0.00019548894"
"1","pct_change(high)","0.00020071885"
"6","pct_change(vwap)","0.00020594652"
"52","diff(AVGPRICE)","0.00020845911"
"2","pct_change(low)","0.00020846665"
"40","diff(MFI)","0.00021369406"
"33","diff(TRIMA)","0.0002152835"
"65","diff(OBV)","0.00021565036"
"38","diff(CMO)","0.00021932204"
"14","diff(log(open))","0.00022187865"
"68","diff(diff(ADX))","0.00022725329"
"47","diff(ROCP)","0.00023038045"
"32","diff(TEMA)","0.00024050877"
"19","diff(log(volume))","0.00024062162"
"55","diff(WCLPRICE)","0.00025014766"
"20","diff(log(vwap))","0.0002545762"
"61","diff(NATR)","0.00025993361"
"0","pct_change(open)","0.00026158916"
"69","diff(diff(ADXR))","0.00026483063"
"70","diff(diff(diff(T3)))","0.0002712626"
"37","diff(CCI)","0.00029909963"
"67","diff(diff(SMA))","0.00031418342"
"54","diff(TYPPRICE)","0.0003345794"
"26","STDDEV","0.00034820888"
"46","diff(ROC)","0.00034938467"
"62","diff(TRANGE)","0.00035682146"
"30","diff(KAMA)","0.000358598"
"23","PPO","0.00037045614"
"12","diff(volume)","0.00038788366"
"5","pct_change(volume)","0.00039894538"
"43","diff(MOM)","0.000410622"
"71","diff(diff(diff(TRIX)))","0.00042396126"
"31","diff(MA)","0.00051394076"
"60","diff(ATR)","0.00061775267"
"48","diff(ROCR)","0.00069666945"
"29","diff(EMA)","0.0007836285"
"27","VAR","0.0008482992"
