,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
0,0,-0.7922781705856323,2022-08-23 08:29:51.051171,2022-08-23 08:30:56.926615,0 days 00:01:05.875444,,,,0.08795027937442436,0.017827080201161506,0.0009477056741281515,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,3,Adagrad,64.0,16.0,1024.0,,,,False,,COMPLETE
1,1,-0.019698023796081543,2022-08-23 08:30:56.928212,2022-08-23 08:32:53.216375,0 days 00:01:56.288163,,,,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,256.0,128.0,32.0,,,,,HuberLoss,,,,,,,3,Adagrad,,,,,,,True,,COMPLETE
2,2,-0.0018775463104248047,2022-08-23 08:32:53.217944,2022-08-23 08:38:57.720556,0 days 00:06:04.502612,9.696424516638154e-06,0.8895491865727113,0.5481489494308612,,,,,,,,,,,,,,lstm,True,0.04,0.02,0.08,0.08,0.04,0.64,,,,,,,1024.0,1024.0,32.0,128.0,256.0,1024.0,,MSELoss,,,,,,,6,Adadelta,,,,,,,False,False,COMPLETE
3,3,,2022-08-23 08:38:57.722578,2022-08-23 08:39:44.991813,0 days 00:00:47.269235,,,,0.014103589333147114,0.020318366054236633,0.0009272170356653746,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Tanh,MSELoss,,,,,,,2,Adagrad,128.0,512.0,,,,,False,,PRUNED
4,4,,2022-08-23 08:39:44.992423,2022-08-23 08:40:01.489350,0 days 00:00:16.496927,,,,0.09360045277058687,0.06302930585665317,0.0008182400858011336,,,,,,,,,,,fnn,True,0.32,0.64,0.04,0.16,0.64,,,,,,,,,,,,,,ELU,GaussianNLLLoss,,,,,,,5,Adagrad,16.0,128.0,512.0,512.0,1024.0,,False,False,PRUNED
5,5,,2022-08-23 08:40:01.489930,2022-08-23 08:40:14.828960,0 days 00:00:13.339030,,,,0.09580556229373749,0.02699534871129181,0.0005541033564009319,,,,,,,,,,,fnn,True,0.32,0.16,,,,,,,,,,,,,,,,,GELU,GaussianNLLLoss,,,,,,,2,Adagrad,512.0,1024.0,,,,,False,False,PRUNED
6,6,,2022-08-23 08:40:14.829550,2022-08-23 08:41:03.753552,0 days 00:00:48.924002,,,,,,,,,,,,0.5950822369093522,1.1827724311644707,0.018072111973530834,5.89675961010457e-05,42.51090607433355,fnn,False,,,,,,,,,,,,,,,,,,,Mish,MSELoss,,,,,,,1,Rprop,16.0,,,,,,False,,PRUNED
7,7,,2022-08-23 08:41:03.754175,2022-08-23 08:42:01.106770,0 days 00:00:57.352595,8.707428595601895e-06,0.1987218120162081,0.7983612611254137,,,,,,,,,,,,,,lstm,True,,,,,,,5.176015959346173e-05,9.090972401102455e-06,1.3860079693045956e-05,,,,256.0,1024.0,1024.0,,,,,GaussianNLLLoss,0.11285060891549105,0.18770664691459665,0.08696546991098421,,,,3,Adadelta,,,,,,,False,True,PRUNED
8,8,,2022-08-23 08:42:01.107408,2022-08-23 08:42:20.034849,0 days 00:00:18.927441,,,,,,,,,,,,0.5373102862609974,1.1168918494519835,0.06250817947219946,3.0418357832262687e-05,7.440943636555829,fnn,True,0.32,0.16,0.64,0.08,0.08,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Rprop,512.0,128.0,32.0,128.0,128.0,,False,False,PRUNED
9,9,,2022-08-23 08:42:20.035426,2022-08-23 08:43:25.312691,0 days 00:01:05.277265,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,MSELoss,,,,,,,6,Adam,256.0,16.0,16.0,32.0,64.0,128.0,True,,PRUNED
